연번,이름,생년월일,현재 나이,연령대,성별,휴대폰 번호,이메일,고객 구분,아이디,가입일,가입 이후 경과 기간,주소,거주 지역,인구 밀도,GDP (조 원),1인당 GDP (만 원),고객 등급,회원가입 이후 구매 이력,최근 구매 제품,차량 사이즈,차량 유형,최근 구매 날짜,최근 구매 연도,최근 구매 시즌,최근 구매 시점,구매 요일,최근 구매 요일,마지막 구매 이후 경과 기간,최근 구매 당시 나이,최근 거래 금액,누적 구매 금액,평균 구매 금액,등급 점수,금액 점수,고객 등급 점수,할부 여부,거래 방식,구매 경로,차량 구매 횟수,구매 빈도 점수,신차 구매 지수,고객 평생 가치,고객 그룹,구매 시즌,구매 요일,고객 충성도 지수,등급
1,강주온,2002.3.4,23,20대 중반,남,010-6502-8753,janisi@himedia.co.kr,법인,14798,2023.4.1,719,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,일반,O,아반떼N,준중형,세단,2024.4.4,2024,봄,2024 2분기,3,평일,350,22,33910000,33910000,51586471,2,1,4,0,1,0,1,2,0,779930,EVC,봄,3,38,이탈가능
2,김경수,1983.1.2,42,40대 초반,남,010-1111-2222,kimkyoungsoo31@himedia.co.kr,법인,kyoungsoo031,2025.2.9,39,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,O,G80,대형,세단,2025.2.10,2025,겨울,2025 1분기,0,평일,38,42,84180000,84180000,61140833,3,4,8,1,1,0,5,4,0.027,23907120,EVC,겨울,0,99,vip
3,김다은,1999.5.2,26,20대 중반,여,010-6789-0123,kimdaeun26@himedia.co.kr,법인,daeun026,2025.2.28,20,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,신규,O,넥쏘,중형,SUV,2025.3.10,2025,봄,2025 1분기,0,평일,10,26,71720000,71720000,47520000,1,2,4,1,2,0,1,5,0.009,3442560,EVC,봄,0,60,신규
4,김민수,1960.7.1,65,60대 중반,남,010-1234-5678,kimminsu1@himedia.co.kr,법인,minsu001,2023.4.28,692,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,일반,O,싼타페,중형,SUV,2023.5.1,2023,봄,2023 2분기,0,평일,689,63,51230000,51230000,57152308,2,1,4,1,3,0,1,1,0,1793050,EVC,봄,0,33,이탈가능
5,김승현,1970.3.2,55,50대 중반,남,010-0123-4567,kimseunghyun20@himedia.co.kr,법인,seunghyun020,2023.9.18,549,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,일반,O,G70,중형,세단,2023.10.1,2023,가을,2023 4분기,6,주말,536,53,49040000,49040000,53551538,0,2,2,1,1,0,1,1,0,1618320,EVC,가을,6,35,이탈가능
6,김영철,1959.8.3,66,60대 중반,남,010-6789-0123,kimyoungcheol6@himedia.co.kr,법인,youngcheol006,2023.2.1,778,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,일반,O,G70,중형,세단,2023.2.1,2023,겨울,2023 1분기,2,평일,778,64,50210000,50210000,53187500,2,2,4,1,1,0,1,1,0,1707140,EVC,겨울,2,40,이탈가능
7,김윤희,1998.1.2,27,20대 후반,여,010-2345-6789,leesujin2@himedia.co.kr,법인,sujin002,2023.7.11,618,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,일반,O,아이오닉5,준중형,해치백,2023.7.18,2023,여름,2023 3분기,1,평일,611,25,71480000,120520000,53551538,2,1,4,1,1,1,1,1,0,9762120,EVC,여름,1,33,이탈가능
9,김진수,1980.4.6,45,40대 중반,남,010-6789-9876,kimjinsu35@himedia.co.kr,법인,jinsu035,2023.1.1,809,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,일반,O,아이오닉5,준중형,해치백,2023.1.3,2023,겨울,2023 1분기,1,평일,807,43,69990000,103900000,51586471,2,1,4,1,1,0,1,1,0,7273000,EVC,겨울,1,33,이탈가능
10,박민정,1977.8.5,48,40대 후반,여,010-8901-2345,parkminjeong8@himedia.co.kr,법인,minjeong008,2024.4.1,353,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,일반,O,아이오닉6,중형,세단,2024.4.6,2024,봄,2024 2분기,5,주말,348,47,45740000,45740000,61722917,1,2,4,1,1,0,1,2,0,1417940,EVC,봄,5,45,이탈가능
11,박수연,1990.11.24,35,30대 중반,여,010-2345-5432,parksuyeon33@himedia.co.kr,법인,suyeon033,2024.11.8,132,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,O,G90,대형,세단,2024.12.3,2024,겨울,2024 4분기,1,평일,107,34,132340000,132340000,64562308,3,4,8,1,2,0,5,3,0.013,59155980,EVC,겨울,1,94,vip
