연번,이름,성별,현재 나이,연령대,가입일,거주 지역,고객 등급,최근 구매 제품,최근 거래 금액,차량 구매 횟수,누적 구매 금액,평균 구매 금액,할부 여부,거래 방식,구매 경로,고객 충성도 지수,고객 평생 가치,생년월일,최근 구매 날짜,최근 구매 연도,구매 요일,등급
1,Rachael Murphy,여성,44,40대,2021-09-17,미국,VIP,쿠페,25686999,5,128434995,25686999,Y,수출,오프라인,78.93,133963393,1981,2024-09-09,2024,Friday,VIP
2,Jonathan Chase,남성,48,40대,2025-01-25,미국,VIP,GV70,57512926,6,345077556,57512926,N,수출,오프라인,61.15,352337051,1977,2018-05-10,2018,Thursday,VIP
3,Kristina Austin,남성,34,30대,2024-05-16,미국,우수,그랜저,42345684,3,127037052,42345684,Y,수출,온라인,68.02,134456496,1991,2019-07-18,2019,Saturday,우수
4,Nathan Blackburn,여성,60,60대,2021-05-14,미국,일반,쏘나타DN8,30203046,6,181218276,30203046,N,수출,오프라인,71.08,186618566,1965,2019-02-04,2019,Sunday,일반
5,Janet James,여성,31,30대,2023-01-04,미국,일반,EQ900,50572786,3,151718358,50572786,N,수출,오프라인,47.5,158548448,1994,2018-12-31,2018,Friday,일반
6,Ryan Walker DDS,남성,65,60대,2023-02-23,미국,일반,싼타페DM,25261809,5,126309045,25261809,Y,수출,온라인,58.32,129636875,1960,2024-06-19,2024,Monday,일반
7,Samantha Scott,남성,37,30대,2025-01-18,미국,VIP,쏘나타LF,34763884,4,139055536,34763884,Y,수출,오프라인,90.27,144738212,1988,2020-06-26,2020,Tuesday,VIP
8,Taylor Flynn,여성,54,50대,2024-05-12,미국,일반,HCV,26477131,6,158862786,26477131,Y,수출,온라인,83.29,164098190,1971,2021-12-09,2021,Saturday,일반
9,Danielle Rose,여성,33,30대,2020-05-04,미국,우수,그랜저,43954272,4,175817088,43954272,Y,수출,오프라인,69.06,180402372,1992,2017-04-11,2017,Sunday,우수
10,Julie Robinson,여성,53,50대,2021-09-06,미국,일반,G90,43589417,1,43589417,43589417,N,수출,오프라인,73.65,48184562,1972,2019-05-23,2019,Friday,일반
11,Kyle Nixon,여성,56,50대,2022-04-20,미국,VIP,벨로스터FS,53638073,1,53638073,53638073,N,수출,오프라인,65.59,58840591,1969,2016-11-26,2016,Wednesday,VIP
12,Matthew Ramirez,남성,51,50대,2023-07-30,미국,우수,G70SB,53011688,2,106023376,53011688,N,수출,오프라인,90.35,109853104,1974,2020-01-22,2020,Tuesday,우수
13,Megan Shaw,여성,31,30대,2023-05-31,미국,일반,i40,28258086,5,141290430,28258086,Y,수출,온라인,66.99,144608188,1994,2021-11-05,2021,Wednesday,일반
14,Timothy White,여성,65,60대,2022-03-10,미국,일반,아이오닉5,24299276,1,24299276,24299276,Y,수출,온라인,73.48,31804401,1960,2024-09-06,2024,Monday,일반
